2021-06-10 17:57:18,115 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2021-06-10 18:07:54,191 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:07:54,215 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 18:07:54,235 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:07:54,236 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 18:16:48,194 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:16:48,242 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 18:16:48,357 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:16:48,358 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 18:27:10,480 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:27:10,484 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 18:27:10,491 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:27:10,492 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 18:33:57,203 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:33:57,205 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 18:33:57,207 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:33:57,208 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 18:48:40,052 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:48:40,054 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 18:48:40,056 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:48:40,057 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 18:49:21,628 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:49:21,629 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 18:49:21,630 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 18:49:21,631 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:04:10,879 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:04:10,890 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-10 19:04:10,891 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:04:10,941 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:04:17,520 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:04:17,522 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 19:04:17,525 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:04:17,526 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:10:11,532 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:10:11,543 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2021-06-10 19:10:11,546 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:10:11,580 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CICLO III-2021\LENGUAJE DE PROGRAMACIÓN\LPI_Semana11\LPI_Semana11\LPI_Semana11\src\test\resources
2021-06-10 19:18:45,316 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-10 19:18:45,318 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-06-10 19:18:45,321 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
